Furnari comune,Furnari comune.1
,
Furnari – Veduta,Furnari – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Felice Germanò (lista civica Rilanciamo Furnari) dal 13-6-2022
Territorio,Territorio
Coordinate,38°06′16.63″N 15°07′30.8″E
Altitudine,145 m s.l.m.
Superficie,"13,55[1] km²"
Abitanti,4 251[2] (30-11-2025)
Densità,"313,73 ab./km²"
Frazioni,Tonnarella
Comuni confinanti,"Falcone, Mazzarrà Sant'Andrea, Terme Vigliatore, Tripi-Abakainon"
Altre informazioni,Altre informazioni
Cod. postale,98054
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083028
Cod. catastale,D825
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 874 GG[4]"
Nome abitanti,furnaresi
Patrono,sant'Antonio di Padova
Giorno festivo,"13 giugno, 8 settembre"
Cartografia,Cartografia
Furnari,Furnari
Furnari – MappaPosizione del comune di Furnari all'interno della città metropolitana di Messina,Furnari – MappaPosizione del comune di Furnari all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
