Sant'Agata di Militello comune,Sant'Agata di Militello comune.1
,
Sant'Agata di Militello – VedutaSant'Agata di Militello da San Fratello,Sant'Agata di Militello – VedutaSant'Agata di Militello da San Fratello
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Bruno Mancuso (lista civica) dall'11-6-2018
Data di istituzione,"R.D. del 1º gennaio del 1857, per concessione di Ferdinando II delle Due Sicilie, anche se nel 1848 Don Salvatore Zito si firmava già sindaco di S.Agata."
Territorio,Territorio
Coordinate,38°04′04.98″N 14°37′59.95″E
Altitudine,30 m s.l.m.
Superficie,"33,98[1] km²"
Abitanti,12 130[2] (30-11-2025)
Densità,"356,97 ab./km²"
Comuni confinanti,"Acquedolci, Militello Rosmarino, San Fratello, Torrenova"
Altre informazioni,Altre informazioni
Cod. postale,98076
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083084
Cod. catastale,I199
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 678 GG[4]"
Nome abitanti,santagatesi
Patrono,San Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Sant'Agata di Militello,Sant'Agata di Militello
Sant'Agata di Militello – MappaPosizione del comune di Sant'Agata di Militello all'interno della città metropolitana di Messina,Sant'Agata di Militello – MappaPosizione del comune di Sant'Agata di Militello all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
