Capizzi comune,Capizzi comune.1
,
Capizzi – Veduta,Capizzi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Leonardo Giuseppe Principato Trosso (lista civica) dall'11-6-2018
Territorio,Territorio
Coordinate,37°51′N 14°29′E
Altitudine,1 100 m s.l.m.
Superficie,"70,17[1] km²"
Abitanti,2 712[2] (30-11-2025)
Densità,"38,65 ab./km²"
Comuni confinanti,"Caronia, Cerami (EN), Cesarò, Mistretta"
Altre informazioni,Altre informazioni
Cod. postale,98031
Prefisso,0935
Fuso orario,UTC+1
Codice ISTAT,083008
Cod. catastale,B660
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 507 GG[4]"
Nome abitanti,capitini
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Capizzi,Capizzi
Capizzi – MappaPosizione del comune di Capizzi all'interno della città metropolitana di Messina,Capizzi – MappaPosizione del comune di Capizzi all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
