Floresta comune,Floresta comune.1
,
Floresta – Veduta,Floresta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Antonio Stroscio (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,37°59′N 14°55′E
Altitudine,1 275 m s.l.m.
Superficie,"31,33[1] km²"
Abitanti,458[2] (30-11-2025)
Densità,"14,62 ab./km²"
Comuni confinanti,"Montalbano Elicona, Raccuja, Randazzo (CT), Santa Domenica Vittoria, Tortorici, Ucria"
Altre informazioni,Altre informazioni
Cod. postale,98030
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083022
Cod. catastale,D635
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 309 GG[4]"
Nome abitanti,florestani
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Floresta,Floresta
Floresta – MappaPosizione del comune di Floresta all'interno della città metropolitana di Messina,Floresta – MappaPosizione del comune di Floresta all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
