Scaletta Zanclea comune,Scaletta Zanclea comune.1
,
Scaletta Zanclea – VedutaIl castello di Scaletta Zanclea,Scaletta Zanclea – VedutaIl castello di Scaletta Zanclea
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Gianfranco Moschella (lista civica) dal 10-6-2018 (2º mandato dal 28-5-2023)
Territorio,Territorio
Coordinate,38°02′41″N 15°27′46″E
Altitudine,8 m s.l.m.
Superficie,"4,76[1] km²"
Abitanti,1 867[2] (30-11-2025)
Densità,"392,23 ab./km²"
Frazioni,"Guidomandri, Scaletta Superiore"
Comuni confinanti,"Itala, Messina"
Altre informazioni,Altre informazioni
Cod. postale,98029
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083094
Cod. catastale,I492
Targa,ME
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona B, 637 GG[4]"
Nome abitanti,scalettesi
Patrono,santa Maria del Carmelo
Giorno festivo,16 luglio
Cartografia,Cartografia
Scaletta Zanclea,Scaletta Zanclea
Scaletta Zanclea – MappaPosizione del comune di Scaletta Zanclea all'interno della città metropolitana di Messina,Scaletta Zanclea – MappaPosizione del comune di Scaletta Zanclea all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
