Mazzarrà Sant'Andrea comune,Mazzarrà Sant'Andrea comune.1
,
Mazzarrà Sant'Andrea – Veduta,Mazzarrà Sant'Andrea – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Carmelo Pietrafitta dal 5-11-2017[1]
Data di istituzione,1812
Territorio,Territorio
Coordinate,38°05′N 15°08′E
Altitudine,110 m s.l.m.
Superficie,"6,69[2] km²"
Abitanti,1 404[3] (30-11-2025)
Densità,"209,87 ab./km²"
Comuni confinanti,"Furnari, Novara di Sicilia, Rodì Milici, Terme Vigliatore, Tripi-Abakainon"
Altre informazioni,Altre informazioni
Cod. postale,98056
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083046
Cod. catastale,F066
Targa,ME
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona B, 814 GG[5]"
Nome abitanti,mazzarresi
Patrono,Madonna delle Grazie
Giorno festivo,"ultima domenica di agosto, 31 maggio"
Cartografia,Cartografia
Mazzarrà Sant'Andrea,Mazzarrà Sant'Andrea
Mazzarrà Sant'Andrea – MappaPosizione del comune di Mazzarrà Sant'Andrea all'interno della città metropolitana di Messina,Mazzarrà Sant'Andrea – MappaPosizione del comune di Mazzarrà Sant'Andrea all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
