Alì Terme comune,Alì Terme comune.1
,
Alì Terme – Veduta,Alì Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Giovanni Cocco (commissario straordinario) dal 19-12-2025
Data di istituzione,1911
Territorio,Territorio
Coordinate,38°00′26″N 15°25′35″E
Altitudine,9 m s.l.m.
Superficie,"6,27[1] km²"
Abitanti,2 325[2] (30-11-2025)
Densità,"370,81 ab./km²"
Comuni confinanti,"Alì, Fiumedinisi, Itala, Nizza di Sicilia"
Altre informazioni,Altre informazioni
Cod. postale,98021
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083003
Cod. catastale,A201
Targa,ME
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona B, 642 GG[4]"
Nome abitanti,aliesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Alì Terme,Alì Terme
Alì Terme – MappaPosizione del comune di Alì Terme all'interno della Città metropolitana di Messina,Alì Terme – MappaPosizione del comune di Alì Terme all'interno della Città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
