Ucria comune,Ucria comune.1
,
Ucria – Veduta,Ucria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Vincenzo Crisà (lista civica) dal 12-6-2018
Territorio,Territorio
Coordinate,38°03′N 14°53′E
Altitudine,710 m s.l.m.
Superficie,"26,26[1] km²"
Abitanti,845[2] (30-11-2025)
Densità,"32,18 ab./km²"
Frazioni,"Marzana , Piano Campo"
Comuni confinanti,"Castell'Umberto, Floresta, Raccuja, Sinagra, Tortorici"
Altre informazioni,Altre informazioni
Cod. postale,98060
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083102
Cod. catastale,L482
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 840 GG[4]"
Nome abitanti,ucriesi
Patrono,santissimo Cristo della Pietà
Giorno festivo,3 maggio
Cartografia,Cartografia
Ucria,Ucria
Ucria – MappaPosizione del comune di Ucria all'interno della città metropolitana di Messina,Ucria – MappaPosizione del comune di Ucria all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
