Saponara comune,Saponara comune.1
,
Saponara – VedutaPanorama di Saponara Centro,Saponara – VedutaPanorama di Saponara Centro
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Pietro Valenti (commissario straordinario) dal 30-12-2025
Data di istituzione,1952
Territorio,Territorio
Coordinate,38°12′N 15°26′E
Altitudine,160 m s.l.m.
Superficie,"26,26[1] km²"
Abitanti,3 611[2] (30-11-2025)
Densità,"137,51 ab./km²"
Frazioni,"Cavaliere, Scarcelli, San Pietro, Saponara Marittima"
Comuni confinanti,"Messina, Rometta, Villafranca Tirrena"
Altre informazioni,Altre informazioni
Cod. postale,98047
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083092
Cod. catastale,I420
Targa,ME
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona B, 900 GG[4]"
Nome abitanti,saponaresi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Saponara,Saponara
Saponara – MappaPosizione del comune di Saponara all'interno della città metropolitana di Messina,Saponara – MappaPosizione del comune di Saponara all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
