Savoca comune,Savoca comune.1
,
Savoca – VedutaPanorama di Savoca (quartiere Borgo),Savoca – VedutaPanorama di Savoca (quartiere Borgo)
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Massimo Stracuzzi (lista civica) dal 7-10-2020
Data di istituzione,1139[1]
Territorio,Territorio
Coordinate,37°57′20.71″N 15°20′22.65″E
Altitudine,330 m s.l.m.
Superficie,"9,08[2] km²"
Abitanti,1 750[3] (30-11-2025)
Densità,"192,73 ab./km²"
Frazioni,"Botte, Cantidati, Contura, Cucco, Mancusa, Mortilla, Rina, Rogani, Romissa, San Francesco di Paola, Scorsonello"
Comuni confinanti,"Casalvecchio Siculo, Forza d'Agrò, Furci Siculo, Sant'Alessio Siculo, Santa Teresa di Riva"
Altre informazioni,Altre informazioni
Cod. postale,98038
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083093
Cod. catastale,I477
Targa,ME
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona C, 1 144 GG[5]"
Nome abitanti,savocesi
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Savoca,Savoca
Savoca – MappaPosizione del comune di Savoca all'interno della città metropolitana di Messina,Savoca – MappaPosizione del comune di Savoca all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
