Tusa comune,Tusa comune.1
,
Tusa – VedutaLa frazione di Castel di Tusa,Tusa – VedutaLa frazione di Castel di Tusa
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Angelo Tudisca dal 31-5-2018
Territorio,Territorio
Coordinate,37°59′N 14°14′E
Altitudine,614 m s.l.m.
Superficie,"41,07[1] km²"
Abitanti,2 478[2] (30-11-2025)
Densità,"60,34 ab./km²"
Frazioni,"Castel di Tusa, Milianni"
Comuni confinanti,"Motta d'Affermo, Pettineo, San Mauro Castelverde (PA)"
Altre informazioni,Altre informazioni
Cod. postale,98079
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,083101
Cod. catastale,L478
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 676 GG[4]"
Nome abitanti,tusani
Patrono,Maria Santissima Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Tusa,Tusa
Tusa – MappaPosizione del comune di Tusa all'interno della città metropolitana di Messina,Tusa – MappaPosizione del comune di Tusa all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
