Fondachelli-Fantina comune,Fondachelli-Fantina comune.1
,
Fondachelli-Fantina – VedutaUna veduta di Fondachelli-Fantina ai piedi della Rocca di Salvatesta,Fondachelli-Fantina – VedutaUna veduta di Fondachelli-Fantina ai piedi della Rocca di Salvatesta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Marco Antonino Pettinato (lista civica) dal 10-6-2013 (2º mandato dal 10-6-2018)
Territorio,Territorio
Coordinate,37°59′N 15°10′E
Altitudine,604 m s.l.m.
Superficie,"42,21[1] km²"
Abitanti,1 070[2] (30-11-2025)
Densità,"25,35 ab./km²"
Frazioni,"Carnale, Chiesa, Evangelisti, Fantina, Figheri, Frascianida, Giarra, Marcazzo, Pietragrossa, Raccui, Rubino (sede comunale), Ruzzolino, San Martino, Sant'Antonio."
Comuni confinanti,"Antillo, Francavilla di Sicilia, Novara di Sicilia, Rodì Milici"
Altre informazioni,Altre informazioni
Cod. postale,98050
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083023
Cod. catastale,D661
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 700 GG[4]"
Nome abitanti,"fondachellesi, fantinesi"
Patrono,santi Angeli Custodi
Giorno festivo,2 ottobre
Cartografia,Cartografia
Fondachelli-Fantina,Fondachelli-Fantina
Fondachelli-Fantina – MappaPosizione del comune di Fondachelli-Fantina all'interno della città metropolitana di Messina,Fondachelli-Fantina – MappaPosizione del comune di Fondachelli-Fantina all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
