Villafranca Tirrena comune,Villafranca Tirrena comune.1
,
Villafranca Tirrena – Veduta,Villafranca Tirrena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Giuseppe Cavallaro (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,38°14′N 15°26′E
Altitudine,22 m s.l.m.
Superficie,"14,25[1] km²"
Abitanti,7 740[2] (30-11-2025)
Densità,"543,16 ab./km²"
Frazioni,"Calvaruso, Castello, Castelluccio, Divieto, Serro"
Comuni confinanti,"Messina, Saponara"
Altre informazioni,Altre informazioni
Cod. postale,98049
Prefisso,090-33
Fuso orario,UTC+1
Codice ISTAT,083105
Cod. catastale,L950
Targa,ME
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona B, 664 GG[4]"
Nome abitanti,villafranchesi/villafrancoti
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Villafranca Tirrena,Villafranca Tirrena
Villafranca Tirrena – MappaPosizione del comune di Villafranca Tirrena all'interno della città metropolitana di Messina,Villafranca Tirrena – MappaPosizione del comune di Villafranca Tirrena all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
