Capo d'Orlando comune,Capo d'Orlando comune.1
,
Capo d'Orlando – VedutaPanorama di Capo d'Orlando dal monte della Madonna,Capo d'Orlando – VedutaPanorama di Capo d'Orlando dal monte della Madonna
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Franco Ingrillì (lista civica) dal 7-6-2016 (2º mandato dal 12-10-2021)
Data di istituzione,1º agosto 1925
Territorio,Territorio
Coordinate,38°09′N 14°44′E
Altitudine,8 m s.l.m.
Superficie,"14,43[1] km²"
Abitanti,13 095[2] (30-11-2025)
Densità,"907,48 ab./km²"
Frazioni,"Amola, Bagnoli, Bastione, Bruca, Catutè, Certari, Crocevia, Forno, Forno Alto, Forno Medio, Furriolo, Livari, Malvicino, Marcaudo, Masseria, Muscale, Piscittina, San Filadelfio, San Giuseppe, San Gregorio, San Martino, Santa Lucia, Scafa, Tavola Grande, Vina"
Comuni confinanti,"Capri Leone, Mirto, Naso, Torrenova"
Altre informazioni,Altre informazioni
Cod. postale,98071
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083009
Cod. catastale,B666
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 640 GG[4]"
Nome abitanti,"orlandini, paladini o capoti"
Patrono,Maria SS. di Capo d'Orlando
Giorno festivo,22 ottobre
Cartografia,Cartografia
Capo d'Orlando,Capo d'Orlando
Capo d'Orlando – MappaPosizione del comune di Capo d'Orlando nella Città metropolitana di Messina,Capo d'Orlando – MappaPosizione del comune di Capo d'Orlando nella Città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
