Taormina comune,Taormina comune.1
,
Taormina – Veduta,Taormina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Cateno De Luca (ScN) dal 31-5-2023
Territorio,Territorio
Coordinate,37°51′06.44″N 15°17′08.34″E
Altitudine,204 m s.l.m.
Superficie,"13,13[1] km²"
Abitanti,10 483[2] (30-11-2025)
Densità,"798,4 ab./km²"
Frazioni,"Chianchitta, Mazzarò, Mazzeo, Trappitello, Villagonia"
Comuni confinanti,"Calatabiano (CT), Castelmola, Castiglione di Sicilia (CT), Gaggi, Giardini-Naxos, Letojanni"
Altre informazioni,Altre informazioni
Cod. postale,98039
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083097
Cod. catastale,L042
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 735 GG[4]"
Nome abitanti,taorminesi
Patrono,san Pancrazio
Giorno festivo,9 luglio
Cartografia,Cartografia
Taormina,Taormina
Taormina – MappaPosizione del comune di Taormina all'interno della città metropolitana di Messina,Taormina – MappaPosizione del comune di Taormina all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
