Merì comune,Merì comune.1
,
Merì – VedutaChiesa di Maria Santissima Annunziata,Merì – VedutaChiesa di Maria Santissima Annunziata
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Filippo Gervasio Bonansinga (lista civica Rinascita meriese) dall'11-6-2017
Territorio,Territorio
Coordinate,38°09′59.38″N 15°14′59.74″E
Altitudine,64 m s.l.m.
Superficie,"1,85[1] km²"
Abitanti,2 396[2] (30-11-2025)
Densità,"1 295,14 ab./km²"
Comuni confinanti,"Barcellona Pozzo di Gotto, Milazzo, San Filippo del Mela, Santa Lucia del Mela"
Altre informazioni,Altre informazioni
Lingue,siciliano
Cod. postale,98040
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083047
Cod. catastale,F147
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 736 GG[4]"
Nome abitanti,meriensi
Patrono,Maria Santissima Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
Merì,Merì
Merì – MappaPosizione del comune di Merì all'interno della città metropolitana di Messina,Merì – MappaPosizione del comune di Merì all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
