Oliveri comune,Oliveri comune.1
,
Oliveri – VedutaCosta e panorama di Oliveri,Oliveri – VedutaCosta e panorama di Oliveri
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Francesco Iarrera (oliVeri) dal 29-4-2019
Territorio,Territorio
Coordinate,38°07′24.53″N 15°03′39.06″E
Altitudine,2 m s.l.m.
Superficie,"10,43[1] km²"
Abitanti,2 226[2] (30-11-2025)
Densità,"213,42 ab./km²"
Comuni confinanti,"Falcone, Montalbano Elicona, Patti"
Altre informazioni,Altre informazioni
Cod. postale,98060
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083063
Cod. catastale,G036
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 630 GG[4]"
Nome abitanti,Liviroti
Patrono,San Giuseppe
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Oliveri,Oliveri
Oliveri – MappaPosizione del comune di Oliveri all'interno della città metropolitana di Messina,Oliveri – MappaPosizione del comune di Oliveri all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
