Condrò comune,Condrò comune.1
,
Condrò – VedutaPanorama e duomo di Condrò,Condrò – VedutaPanorama e duomo di Condrò
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Giuseppe Pietro Catanese (lista civica) dal 29-4-2019
Territorio,Territorio
Coordinate,38°10′N 15°20′E
Altitudine,58 m s.l.m.
Superficie,"5,13[1] km²"
Abitanti,499[2] (30-11-2025)
Densità,"97,27 ab./km²"
Comuni confinanti,"Gualtieri Sicaminò, Pace del Mela, San Pier Niceto"
Altre informazioni,Altre informazioni
Cod. postale,98040
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083018
Cod. catastale,C956
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 726 GG[4]"
Nome abitanti,condronesi
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Condrò,Condrò
Condrò – MappaPosizione del comune di Condrò all'interno della città metropolitana di Messina,Condrò – MappaPosizione del comune di Condrò all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
