Gaggi comune,Gaggi comune.1
,
Gaggi – VedutaChiesa di San Giuseppe Operaio,Gaggi – VedutaChiesa di San Giuseppe Operaio
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Giuseppe Cundari (lista civica Insieme per Gaggi) dall'11-6-2017
Territorio,Territorio
Coordinate,37°51′36.5″N 15°13′17.51″E
Altitudine,106 m s.l.m.
Superficie,"7,65[1] km²"
Abitanti,3 092[2] (30-11-2025)
Densità,"404,18 ab./km²"
Frazioni,"Billirè, Cavallaro, Costa Arancione, Falcò, Palmara"
Comuni confinanti,"Castelmola, Castiglione di Sicilia (CT), Graniti, Mongiuffi Melia, Taormina"
Altre informazioni,Altre informazioni
Cod. postale,98030
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083029
Cod. catastale,D844
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 808 GG[4]"
Nome abitanti,gaggesi (kaggitani)
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Gaggi,Gaggi
Gaggi – MappaPosizione del comune di Gaggi all'interno della città metropolitana di Messina,Gaggi – MappaPosizione del comune di Gaggi all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
