San Piero Patti comune,San Piero Patti comune.1
,
San Piero Patti – Veduta,San Piero Patti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Carmelita Marchello (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,38°03′07.7″N 14°58′01.45″E
Altitudine,448 m s.l.m.
Superficie,"41,82[1] km²"
Abitanti,2 539[2] (30-11-2025)
Densità,"60,71 ab./km²"
Frazioni,vedi in fondo alla pagina
Comuni confinanti,"Librizzi, Montalbano Elicona, Patti, Raccuja, Sant'Angelo di Brolo"
Altre informazioni,Altre informazioni
Cod. postale,98068
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083081
Cod. catastale,I086
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 392 GG[4]"
Nome abitanti,sampietrini
Patrono,san Biagio
Giorno festivo,3 febbraio prima domenica di ottobre
Cartografia,Cartografia
San Piero Patti,San Piero Patti
San Piero Patti – MappaPosizione del comune di San Piero Patti all'interno della città metropolitana di Messina,San Piero Patti – MappaPosizione del comune di San Piero Patti all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
