Spadafora comune,Spadafora comune.1
,
Spadafora – Veduta,Spadafora – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Lillo Pistone (lista civica) dal 12-6-2024
Territorio,Territorio
Coordinate,38°13′25.54″N 15°22′45.41″E
Altitudine,6 m s.l.m.
Superficie,"10,52[1] km²"
Abitanti,4 589[2] (30-11-2025)
Densità,"436,22 ab./km²"
Frazioni,"Grangiara, San Martino"
Comuni confinanti,"Roccavaldina, Rometta, Venetico"
Altre informazioni,Altre informazioni
Cod. postale,98048
Prefisso,090
Fuso orario,UTC+1
Codice ISTAT,083096
Cod. catastale,I881
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 696 GG[4]"
Nome abitanti,spadaforesi
Patrono,san Giuseppe
Giorno festivo,terza domenica di luglio
Cartografia,Cartografia
Spadafora,Spadafora
Spadafora – MappaPosizione del comune di Spadafora nella città metropolitana di Messina,Spadafora – MappaPosizione del comune di Spadafora nella città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
