San Fratello comune,San Fratello comune.1
,
San Fratello – Veduta,San Fratello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Giuseppe Princiotta (NuovaMente per San Fratello) dal 29-5-2023
Territorio,Territorio
Coordinate,38°00′46.03″N 14°35′50.78″E
Altitudine,675 m s.l.m.
Superficie,"67,63[1] km²"
Abitanti,3 163[2] (30-11-2025)
Densità,"46,77 ab./km²"
Comuni confinanti,"Acquedolci, Alcara Li Fusi, Caronia, Cesarò, Militello Rosmarino, Sant'Agata di Militello"
Altre informazioni,Altre informazioni
Cod. postale,98075
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083078
Cod. catastale,H850
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 781 GG[4]"
Nome abitanti,sanfratellani
Patrono,san Filadelfo
Giorno festivo,10 maggio
Cartografia,Cartografia
San Fratello,San Fratello
San Fratello – MappaPosizione del comune di San Fratello all'interno della città metropolitana di Messina,San Fratello – MappaPosizione del comune di San Fratello all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
