Brolo comune,Brolo comune.1
,
Brolo – Veduta,Brolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Giuseppe Laccoto (Lega - Salvini Premier) dal 30-4-2019
Territorio,Territorio
Coordinate,38°09′22.43″N 14°49′40.76″E
Altitudine,8 m s.l.m.
Superficie,"7,66[1] km²"
Abitanti,5 713[2] (30-11-2025)
Densità,"745,82 ab./km²"
Frazioni,"Casette, Filanda, Fosso Gelso, Iannello, Lacco, Lago, Malpertuso, Matini-Casette, Parrazzà, Piana, Sant'Anna, Sellica"
Comuni confinanti,"Ficarra, Naso, Piraino, Sant'Angelo di Brolo"
Altre informazioni,Altre informazioni
Cod. postale,98061
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083007
Cod. catastale,B198
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 640 GG[4]"
Nome abitanti,brolesi
Patrono,Maria Santissima Annunciata
Giorno festivo,25 marzo
Cartografia,Cartografia
Brolo,Brolo
Brolo – MappaPosizione del comune di Brolo all'interno della città metropolitana di Messina,Brolo – MappaPosizione del comune di Brolo all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
