Antillo comune,Antillo comune.1
,
Antillo – VedutaPanorama di Antillo,Antillo – VedutaPanorama di Antillo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Davide Paratore (lista civica) dal 1-6-2011 (3º mandato dall'11-10-2021)
Data di istituzione,17 febbraio 1845
Territorio,Territorio
Coordinate,37°59′N 15°15′E
Altitudine,480 m s.l.m.
Superficie,"43,64[1] km²"
Abitanti,775[2] (30-11-2025)
Densità,"17,76 ab./km²"
Comuni confinanti,"Casalvecchio Siculo, Castroreale, Fondachelli-Fantina, Francavilla di Sicilia, Graniti, Limina, Mongiuffi Melia, Motta Camastra, Roccafiorita, Rodì Milici"
Altre informazioni,Altre informazioni
Lingue,siciliano e italiano
Cod. postale,98030
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083004
Cod. catastale,A313
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 430 GG[4]"
Nome abitanti,antillesi
Patrono,Madonna della Provvidenza
Giorno festivo,22 agosto
Cartografia,Cartografia
Antillo,Antillo
Antillo – MappaPosizione del comune di Antillo all'interno della città metropolitana Messina,Antillo – MappaPosizione del comune di Antillo all'interno della città metropolitana Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
