Torrenova comune,Torrenova comune.1
,
Torrenova – Veduta,Torrenova – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Salvatore Castrovinci (lista civica Torrenova unita) dal 12-6-2017
Territorio,Territorio
Coordinate,38°05′32.86″N 14°40′45.01″E
Altitudine,10 m s.l.m.
Superficie,"12,93[1] km²"
Abitanti,4 478[2] (30-11-2025)
Densità,"346,33 ab./km²"
Frazioni,"Casitti, Cerci, Contrada Mare, Cuba, Cuffari, Fontanelle, Fragale, Laganeto Alto, Laganeto Basso, Mangarone, Piattaforma, Percacciola, Pietra Roma, Rocchetta, Rosmarino, Santo Pietro, Serro Coniglio, Serro Marzo, Serro Mendola, Stradale, Villiti, Zappulla."
Comuni confinanti,"Capo d'Orlando, Capri Leone, Militello Rosmarino, San Marco d'Alunzio, Sant'Agata di Militello"
Altre informazioni,Altre informazioni
Cod. postale,98070
Prefisso,0941
Fuso orario,UTC+1
Codice ISTAT,083108
Cod. catastale,M286
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona B, 654 GG[4]"
Nome abitanti,Torrenovesi
Patrono,Maria Addolorata
Giorno festivo,15 settembre
Cartografia,Cartografia
Torrenova,Torrenova
Torrenova – MappaPosizione del comune di Torrenova all'interno della città metropolitana di Messina,Torrenova – MappaPosizione del comune di Torrenova all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
