Casalvecchio Siculo comune,Casalvecchio Siculo comune.1
,
Casalvecchio Siculo – Veduta,Casalvecchio Siculo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Messina
Amministrazione,Amministrazione
Sindaco,Marco Antonino Saetti (lista civica) dall'11-6-2013 (3º mandato dal 30-5-2023)
Data di istituzione,1795 (separazione da Savoca)
Territorio,Territorio
Coordinate,37°57′27″N 15°19′19″E
Altitudine,370 m s.l.m.
Superficie,"33,62[1] km²"
Abitanti,678[2] (30-11-2025)
Densità,"20,17 ab./km²"
Frazioni,"Fadarechi, Misitano, Mitta, Paratore, Passo Carrera, Pietrabianca, Pietrabianca Inferiore, Rafale, Rimiti, San Carlo, San Pietro"
Comuni confinanti,"Antillo, Castroreale, Forza d'Agrò, Furci Siculo, Limina, Sant'Alessio Siculo, Santa Lucia del Mela, Santa Teresa di Riva, Savoca"
Altre informazioni,Altre informazioni
Lingue,"italiano, siciliano"
Cod. postale,98032
Prefisso,0942
Fuso orario,UTC+1
Codice ISTAT,083012
Cod. catastale,B918
Targa,ME
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 345 GG[4]"
Nome abitanti,casalvetini (casaluvicchiòti)
Patrono,sant'Onofrio
Giorno festivo,12 giugno
Cartografia,Cartografia
Casalvecchio Siculo,Casalvecchio Siculo
Casalvecchio Siculo – MappaPosizione del comune di Casalvecchio Siculo all'interno della città metropolitana di Messina,Casalvecchio Siculo – MappaPosizione del comune di Casalvecchio Siculo all'interno della città metropolitana di Messina
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
