Foggia comune,Foggia comune.1
,
"Foggia – VedutaL'ottocentesca piazza Cavour, nel cuore della città, ospita tre monumenti iconici.","Foggia – VedutaL'ottocentesca piazza Cavour, nel cuore della città, ospita tre monumenti iconici."
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Maria Aida Episcopo (indipendente di centro-sinistra) dal 27-10-2023
Territorio,Territorio
Coordinate,41°27′30.42″N 15°33′06.77″E
Altitudine,76 m s.l.m.
Superficie,"509,26 km²"
Abitanti,145 071[1] (30-11-2025)
Densità,"284,87 ab./km²"
Frazioni,"Arpinova, Borgo Cervaro, Borgo Eridania, Borgo Incoronata, Ponte Albanito, Segezia, Tavernola"
Comuni confinanti,"Ascoli Satriano, Carapelle, Castelluccio dei Sauri, Cerignola, Lucera, Manfredonia, Ordona, Rignano Garganico, San Marco in Lamis, San Giovanni Rotondo, San Severo, Troia"
Altre informazioni,Altre informazioni
Cod. postale,71121–71122
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071024
Cod. catastale,D643
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 530 GG[3]"
Nome abitanti,foggiani
Patrono,Madonna dei sette veli
Giorno festivo,22 marzo
PIL procapite,(nominale) 20 409 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Foggia,Foggia
Foggia – MappaPosizione del comune di Foggia nell'omonima provincia,Foggia – MappaPosizione del comune di Foggia nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
