Biccari comune,Biccari comune.1
,
Biccari – Veduta,Biccari – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Antonio Beatrice (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,41°24′N 15°12′E
Altitudine,450 m s.l.m.
Superficie,"106,65 km²"
Abitanti,2 577[1] (30-11-2025)
Densità,"24,16 ab./km²"
Frazioni,"Berardinone, Tertiveri, Santa Maria in Vulgano"
Comuni confinanti,"Alberona, Castelluccio Valmaggiore, Celle di San Vito, Faeto, Lucera, Roseto Valfortore, Troia"
Altre informazioni,Altre informazioni
Cod. postale,71032
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071006
Cod. catastale,A854
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 926 GG[3]"
Nome abitanti,biccaresi
Patrono,san Donato
Giorno festivo,7 agosto
PIL procapite,(nominale) 16 175 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Biccari,Biccari
Biccari – MappaPosizione del comune di Biccari nella provincia di Foggia,Biccari – MappaPosizione del comune di Biccari nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
