San Nicandro Garganico comune,San Nicandro Garganico comune.1
,
San Nicandro Garganico – Veduta,San Nicandro Garganico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Matteo Vocale (PD - M5S - liste civiche) dal 7-10-2021
Territorio,Territorio
Coordinate,41°50′N 15°34′E
Altitudine,224 m s.l.m.
Superficie,"173,36 km²"
Abitanti,13 395[1] (30-11-2025)
Densità,"77,27 ab./km²"
Frazioni,Vedi in “Geografia Fisica”
Comuni confinanti,"Apricena, Cagnano Varano, Lesina, Poggio Imperiale, San Marco in Lamis"
Altre informazioni,Altre informazioni
Cod. postale,71015
Prefisso,0882
Fuso orario,UTC+1
Codice ISTAT,071049
Cod. catastale,I054
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 663 GG[3]"
Nome abitanti,sannicandresi
Patrono,"santi Nicandro, Marciano e Daria, Immacolata Concezione della Beata Vergine Maria"
Giorno festivo,"17 giugno, 8 dicembre"
PIL procapite,(nominale) 14 895 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
San Nicandro Garganico,San Nicandro Garganico
San Nicandro Garganico – MappaPosizione del comune di San Nicandro Garganico nella provincia di Foggia,San Nicandro Garganico – MappaPosizione del comune di San Nicandro Garganico nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
