Sant'Agata di Puglia comune,Sant'Agata di Puglia comune.1
,
Sant'Agata di Puglia – Veduta,Sant'Agata di Puglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Pietro Bove (lista civica Sant'Agata nel 2000) dal 4-10-2021
Territorio,Territorio
Coordinate,41°09′10″N 15°22′51″E
Altitudine,794 m s.l.m.
Superficie,"116,14 km²"
Abitanti,1 744[1] (30-11-2025)
Densità,"15,02 ab./km²"
Frazioni,"Santa Maria d'Olivola, Bastia"
Comuni confinanti,"Accadia, Anzano di Puglia, Candela, Deliceto, Lacedonia (AV), Monteleone di Puglia, Rocchetta Sant'Antonio, Scampitella (AV)"
Altre informazioni,Altre informazioni
Cod. postale,71028
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071052
Cod. catastale,I193
Targa,FG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 511 GG[3]"
Nome abitanti,santagatesi
Patrono,sant'Agata
Giorno festivo,5 febbraio
PIL procapite,(nominale) 16 002 € (anno d'imposta 2022)[4]
Soprannome,loggia delle Puglie
Cartografia,Cartografia
Sant'Agata di Puglia,Sant'Agata di Puglia
Sant'Agata di Puglia – MappaPosizione del comune di Sant'Agata di Puglia nella provincia di Foggia,Sant'Agata di Puglia – MappaPosizione del comune di Sant'Agata di Puglia nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
