Torremaggiore comune,Torremaggiore comune.1
,
Torremaggiore – VedutaCastello Ducale,Torremaggiore – VedutaCastello Ducale
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Emilio Di Pumpo (centro-sinistra) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°41′N 15°17′E
Altitudine,169 m s.l.m.
Superficie,"208,57 km²"
Abitanti,16 304[1] (30-11-2025)
Densità,"78,17 ab./km²"
Comuni confinanti,"Casalvecchio di Puglia, Castelnuovo della Daunia, Lucera, Rotello (CB), San Paolo di Civitate, San Severo, Santa Croce di Magliano (CB), Serracapriola"
Altre informazioni,Altre informazioni
Cod. postale,71017
Prefisso,0882
Fuso orario,UTC+1
Codice ISTAT,071056
Cod. catastale,L273
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 549 GG[3]"
Nome abitanti,torremaggioresi
Patrono,san Sabino
Giorno festivo,prima domenica di giugno
PIL procapite,(nominale) 15 257 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Torremaggiore,Torremaggiore
Torremaggiore – MappaPosizione del comune di Torremaggiore nella provincia di Foggia,Torremaggiore – MappaPosizione del comune di Torremaggiore nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
