Ischitella comune,Ischitella comune.1
,
Ischitella – Veduta,Ischitella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Alessandro Nobiletti (lista civica Futuro insieme) dal 13-6-2022
Territorio,Territorio
Coordinate,41°54′N 15°54′E
Altitudine,314 m s.l.m.
Superficie,"85,46 km²"
Abitanti,4 024[1] (30-11-2025)
Densità,"47,09 ab./km²"
Frazioni,Foce Varano
Comuni confinanti,"Cagnano Varano, Carpino, Rodi Garganico, Vico del Gargano"
Altre informazioni,Altre informazioni
Cod. postale,71010
Prefisso,0884
Fuso orario,UTC+1
Codice ISTAT,071025
Cod. catastale,E332
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 766 GG[3]"
Nome abitanti,ischitellani
Patrono,sant'Eustachio
Giorno festivo,20 maggio
PIL procapite,(nominale) 13 532 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Ischitella,Ischitella
Ischitella – MappaPosizione del comune di Ischitella nella provincia di Foggia,Ischitella – MappaPosizione del comune di Ischitella nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
