Motta Montecorvino comune,Motta Montecorvino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Domenico Iavagnilio (lista civica Motta nel cuore) dal 7-5-2012 (3º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,41°30′N 15°07′E
Altitudine,662 m s.l.m.
Superficie,"19,94 km²"
Abitanti,584[1] (30-11-2025)
Densità,"29,29 ab./km²"
Comuni confinanti,"Celenza Valfortore, Pietramontecorvino, Volturara Appula, Volturino"
Altre informazioni,Altre informazioni
Cod. postale,71030
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071034
Cod. catastale,F777
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 215 GG[3]"
Nome abitanti,mottesi
Patrono,san Giovanni Battista
Giorno festivo,6 maggio
PIL procapite,(nominale) 17 261 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Motta Montecorvino,Motta Montecorvino
Motta Montecorvino – MappaPosizione del comune di Motta Montecorvino nella provincia di Foggia,Motta Montecorvino – MappaPosizione del comune di Motta Montecorvino nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
