Candela comune,Candela comune.1
,
Candela – Veduta,Candela – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Nicola Gatta (lista civica Guardiamo avanti Candela) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°08′N 15°31′E
Altitudine,474 m s.l.m.
Superficie,"96,82 km²"
Abitanti,2 689[1] (30-11-2025)
Densità,"27,77 ab./km²"
Comuni confinanti,"Ascoli Satriano, Deliceto, Melfi (PZ), Rocchetta Sant'Antonio, Sant'Agata di Puglia"
Altre informazioni,Altre informazioni
Cod. postale,71024
Prefisso,0885
Fuso orario,UTC+1
Codice ISTAT,071009
Cod. catastale,B584
Targa,FG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 986 GG[3]"
Nome abitanti,candelesi
Patrono,san Rocco[4]
Giorno festivo,16 agosto
PIL procapite,(nominale) 15 511 € (anno d'imposta 2022)[5]
Cartografia,Cartografia
Candela,Candela
Candela – MappaPosizione del comune di Candela nella provincia di Foggia,Candela – MappaPosizione del comune di Candela nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
