Lucera comune,Lucera comune.1
,
"Lucera – VedutaL'iconica Basilica cattedrale, monumento nazionale nel cuore della città vecchia","Lucera – VedutaL'iconica Basilica cattedrale, monumento nazionale nel cuore della città vecchia"
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Giuseppe Pitta (lista civica) dal 5-10-2020
Territorio,Territorio
Coordinate,41°30′N 15°20′E
Altitudine,219 m s.l.m.
Superficie,"339,79 km²"
Abitanti,30 358[1] (30-11-2025)
Densità,"89,34 ab./km²"
Frazioni,vedi elenco frazioni
Comuni confinanti,"Alberona, Biccari, Castelnuovo della Daunia, Foggia, Pietramontecorvino, San Severo, Torremaggiore, Troia, Volturino"
Altre informazioni,Altre informazioni
Cod. postale,71036
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071028
Cod. catastale,E716
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 473 GG[3]"
Nome abitanti,lucerini
Patrono,santa Maria
Giorno festivo,16 agosto
PIL procapite,(nominale) 17 858 € (anno d'imposta 2022)[4]
Soprannome,chiave di Puglia[5]
Motto,S.P.Q.L.[6] (Senatus PopulusQue Lucerinus)
Cartografia,Cartografia
Lucera,Lucera
Lucera – MappaPosizione del comune di Lucera nella provincia di Foggia,Lucera – MappaPosizione del comune di Lucera nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
