Vieste comune,Vieste comune.1
,
Vieste – Veduta,Vieste – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Giuseppe Nobiletti (indipendente di centro-sinistra) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°53′N 16°10′E
Altitudine,43 m s.l.m.
Superficie,"169,19 km²"
Abitanti,13 263[1] (30-11-2025)
Densità,"78,39 ab./km²"
Frazioni,"Pugnochiuso, Merino"
Comuni confinanti,"Mattinata, Monte Sant'Angelo, Peschici, Vico del Gargano"
Altre informazioni,Altre informazioni
Cod. postale,71019
Prefisso,0884
Fuso orario,UTC+1
Codice ISTAT,071060
Cod. catastale,L858
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 239 GG[3]"
Nome abitanti,viestani
Patrono,santa Maria di Merino
Giorno festivo,9 maggio
PIL procapite,(nominale) 14 716 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Vieste,Vieste
Vieste – MappaPosizione del comune di Vieste nella provincia di Foggia,Vieste – MappaPosizione del comune di Vieste nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
