Volturino comune,Volturino comune.1
,
Volturino – Veduta,Volturino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Giovanna Santacroce (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,41°29′N 15°07′E
Altitudine,735 m s.l.m.
Superficie,"58,35 km²"
Abitanti,1 501[1] (30-11-2025)
Densità,"25,72 ab./km²"
Frazioni,"Carignani, Scaricaturo, Serritella"
Comuni confinanti,"Alberona, Lucera, Motta Montecorvino, Pietramontecorvino, Volturara Appula"
Altre informazioni,Altre informazioni
Cod. postale,71030
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071062
Cod. catastale,M132
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 326 GG[3]"
Nome abitanti,volturinesi
Patrono,Madonna della Serritella
Giorno festivo,"prima domenica di maggio, 8 settembre"
PIL procapite,(nominale) 15 597 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Volturino,Volturino
Volturino – MappaPosizione del comune di Volturino nella provincia di Foggia,Volturino – MappaPosizione del comune di Volturino nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
