Pietramontecorvino comune,Pietramontecorvino comune.1
,
Pietramontecorvino – Veduta,Pietramontecorvino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Domenico Zuppa (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,41°33′N 15°08′E
Altitudine,456 m s.l.m.
Superficie,"71,65 km²"
Abitanti,2 376[1] (30-11-2025)
Densità,"33,16 ab./km²"
Comuni confinanti,"Casalnuovo Monterotaro, Casalvecchio di Puglia, Castelnuovo della Daunia, Celenza Valfortore, Lucera, Motta Montecorvino, Volturino"
Altre informazioni,Altre informazioni
Cod. postale,71038
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071039
Cod. catastale,G604
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 714 GG[3]"
Nome abitanti,petraioli
Patrono,"sant'Alberto da Montecorvino, Madonna di Costantinopoli"
Giorno festivo,"16 maggio, 18 Agosto"
PIL procapite,(nominale) 16 702 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Pietramontecorvino,Pietramontecorvino
Pietramontecorvino – MappaPosizione del comune di Pietramontecorvino nella provincia di Foggia,Pietramontecorvino – MappaPosizione del comune di Pietramontecorvino nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
