Orta Nova comune,Orta Nova comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Domenico di Vito (liste civiche di centro-sinistra) dal 9-6-2025
Territorio,Territorio
Coordinate,41°19′51″N 15°42′41″E
Altitudine,69 m s.l.m.
Superficie,"105,24 km²"
Abitanti,16 595[1] (30-11-2025)
Densità,"157,69 ab./km²"
Comuni confinanti,"Ascoli Satriano, Carapelle, Cerignola, Ordona, Stornara, Stornarella"
Altre informazioni,Altre informazioni
Cod. postale,71045
Prefisso,0885
Fuso orario,UTC+1
Codice ISTAT,071036
Cod. catastale,G131
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 395 GG[3]"
Nome abitanti,Ortesi
Patrono,sant'Antonio da Padova
Giorno festivo,13 giugno
PIL procapite,(nominale) 14 358 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Orta Nova,Orta Nova
Orta Nova – MappaPosizione del comune di Orta Nova nella provincia di Foggia,Orta Nova – MappaPosizione del comune di Orta Nova nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
