Orsara di Puglia comune,Orsara di Puglia comune.1
,
Orsara di Puglia – Veduta,Orsara di Puglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Mario Gerardo Carmine Simonelli (lista civica Insieme per rinascere) dal 13-6-2022
Territorio,Territorio
Coordinate,41°17′N 15°16′E
Altitudine,635 m s.l.m.
Superficie,"83,01 km²"
Abitanti,2 470[1] (30-11-2025)
Densità,"29,76 ab./km²"
Frazioni,"Giardinetto, Ischia, Monte Maggiore, Torre Guevara, Cervellino"
Comuni confinanti,"Bovino, Castelluccio dei Sauri, Celle di San Vito, Faeto, Greci (AV), Montaguto (AV), Panni, Troia"
Altre informazioni,Altre informazioni
Cod. postale,71027
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071035
Cod. catastale,G125
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 266 GG[3]"
Nome abitanti,orsaresi
Patrono,san Michele Arcangelo
PIL procapite,(nominale) 14 907 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Orsara di Puglia,Orsara di Puglia
Orsara di Puglia – MappaPosizione del comune di Orsara di Puglia nella provincia di Foggia,Orsara di Puglia – MappaPosizione del comune di Orsara di Puglia nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
