Castelluccio dei Sauri comune,Castelluccio dei Sauri comune.1
,
Castelluccio dei Sauri – Veduta,Castelluccio dei Sauri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Mattia Lucino Azzone (FI) dal 26-5-2025
Territorio,Territorio
Coordinate,41°18′N 15°29′E
Altitudine,284 m s.l.m.
Superficie,"51,47 km²"
Abitanti,1 958[1] (30-11-2025)
Densità,"38,04 ab./km²"
Comuni confinanti,"Ascoli Satriano, Bovino, Deliceto, Foggia, Orsara di Puglia, Troia"
Altre informazioni,Altre informazioni
Cod. postale,71025
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071015
Cod. catastale,C198
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 726 GG[3]"
Nome abitanti,castelluccesi
Patrono,san Salvatore
Giorno festivo,6 agosto
PIL procapite,(nominale) 15 197 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Castelluccio dei Sauri,Castelluccio dei Sauri
Castelluccio dei Sauri – MappaPosizione del comune di Castelluccio dei Sauri nella provincia di Foggia,Castelluccio dei Sauri – MappaPosizione del comune di Castelluccio dei Sauri nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
