Poggio Imperiale comune,Poggio Imperiale comune.1
,
Poggio Imperiale – Veduta,Poggio Imperiale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Alessandro Liggieri (lista civica) dal 10-6-2024
Data di istituzione,18 gennaio 1761
Territorio,Territorio
Coordinate,41°49′N 15°22′E
Altitudine,73 m s.l.m.
Superficie,"52,88 km²"
Abitanti,2 546[1] (30-11-2025)
Densità,"48,15 ab./km²"
Comuni confinanti,"Apricena, Lesina, San Paolo di Civitate, San Nicandro Garganico"
Altre informazioni,Altre informazioni
Cod. postale,71010
Prefisso,0882
Fuso orario,UTC+1
Codice ISTAT,071040
Cod. catastale,G761
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 401 GG[3]"
Nome abitanti,"poggioimperialesi, terranovesi"
Patrono,san Placido martire
Giorno festivo,5 ottobre
PIL procapite,(nominale) 14 457 € (anno d'imposta 2022)[4]
Soprannome,Porta della Puglia e del Gargano
Cartografia,Cartografia
Poggio Imperiale,Poggio Imperiale
Poggio Imperiale – MappaPosizione del comune di Poggio Imperiale nella provincia di Foggia,Poggio Imperiale – MappaPosizione del comune di Poggio Imperiale nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
