Apricena comune,Apricena comune.1
,
"Apricena – VedutaIl Palazzo Baronale, con Torriolo","Apricena – VedutaIl Palazzo Baronale, con Torriolo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Antonio Potenza (FI) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°47′04.51″N 15°26′36.88″E
Altitudine,73 m s.l.m.
Superficie,"172,51 km²"
Abitanti,12 486[1] (30-11-2025)
Densità,"72,38 ab./km²"
Comuni confinanti,"Lesina, Poggio Imperiale, Rignano Garganico, San Marco in Lamis, San Paolo di Civitate, San Severo, San Nicandro Garganico"
Altre informazioni,Altre informazioni
Cod. postale,71011
Prefisso,0882
Fuso orario,UTC+1
Codice ISTAT,071004
Cod. catastale,A339
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 401 GG[3]"
Nome abitanti,apricenesi
Patrono,Maria santissima Incoronata
Giorno festivo,ultima domenica di maggio
PIL procapite,(nominale) 16 905 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Apricena,Apricena
Apricena – MappaPosizione del comune di Apricena nella provincia di Foggia,Apricena – MappaPosizione del comune di Apricena nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
