Peschici comune,Peschici comune.1
,
Peschici – VedutaPanorama di Peschici,Peschici – VedutaPanorama di Peschici
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Luigi D'Arenzo (Lista civica (Italia)) dal 15-05-2023
Territorio,Territorio
Coordinate,41°57′N 16°01′E
Altitudine,90 m s.l.m.
Superficie,"49,39 km²"
Abitanti,4 284[1] (30-11-2025)
Densità,"86,74 ab./km²"
Frazioni,"Manaccora, San Nicola"
Comuni confinanti,"Vico del Gargano, Vieste"
Altre informazioni,Altre informazioni
Cod. postale,71010
Prefisso,0884
Fuso orario,UTC+1
Codice ISTAT,071038
Cod. catastale,G487
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 427 GG[3]"
Nome abitanti,peschiciani
Patrono,sant'Elia
Giorno festivo,20 luglio
PIL procapite,(nominale) 13 110 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Peschici,Peschici
Peschici – MappaPosizione del comune di Peschici nella provincia di Foggia,Peschici – MappaPosizione del comune di Peschici nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
