Celenza Valfortore comune,Celenza Valfortore comune.1
,
Celenza Valfortore – Veduta,Celenza Valfortore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Massimo Venditti (lista civica AC Alleanza Civica per Celenza) dal 4-10-2021
Territorio,Territorio
Coordinate,41°34′N 14°59′E
Altitudine,480 m s.l.m.
Superficie,"65,42 km²"
Abitanti,1 267[1] (30-11-2025)
Densità,"19,37 ab./km²"
Comuni confinanti,"Carlantino, Casalnuovo Monterotaro, Gambatesa (CB), Macchia Valfortore (CB), Motta Montecorvino, Pietramontecorvino, San Marco la Catola, Tufara (CB), Volturara Appula"
Altre informazioni,Altre informazioni
Cod. postale,71035
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071018
Cod. catastale,C429
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 997 GG[3]"
Nome abitanti,celenzani
Patrono,san Giovanni
Giorno festivo,24 giugno
PIL procapite,(nominale) 14 661 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Celenza Valfortore,Celenza Valfortore
Celenza Valfortore – MappaPosizione del comune di Celenza Valfortore nella provincia di Foggia,Celenza Valfortore – MappaPosizione del comune di Celenza Valfortore nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
