Troia comune,Troia comune.1
,
Troia – VedutaVeduta notturna della concattedrale di Troia,Troia – VedutaVeduta notturna della concattedrale di Troia
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Francesco Caserta (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,41°22′N 15°18′E
Altitudine,439 m s.l.m.
Superficie,"168,25 km²"
Abitanti,6 489[1] (30-11-2025)
Densità,"38,57 ab./km²"
Frazioni,Borgo Giardinetto
Comuni confinanti,"Biccari, Castelluccio dei Sauri, Castelluccio Valmaggiore, Celle di San Vito, Foggia, Lucera, Orsara di Puglia"
Altre informazioni,Altre informazioni
Cod. postale,71029
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071058
Cod. catastale,L447
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 964 GG[3]"
Nome abitanti,troiani
Patrono,"Santi Eleuterio, Urbano, Ponziano, Secondino, Anastasio"
Giorno festivo,19 luglio
PIL procapite,(nominale) 17 101 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Troia,Troia
Troia – MappaPosizione del comune di Troia nella provincia di Foggia,Troia – MappaPosizione del comune di Troia nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
