Castelluccio Valmaggiore comune,Castelluccio Valmaggiore comune.1
,
Castelluccio Valmaggiore – Veduta,Castelluccio Valmaggiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Pasquale Marchese (lista civica Seme e terra) dal 15-5-2023
Territorio,Territorio
Coordinate,41°21′N 15°12′E
Altitudine,630 m s.l.m.
Superficie,"26,79 km²"
Abitanti,1 175[1] (30-11-2025)
Densità,"43,86 ab./km²"
Comuni confinanti,"Biccari, Celle di San Vito, Troia"
Altre informazioni,Altre informazioni
Cod. postale,71020
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071016
Cod. catastale,C202
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 035 GG[3]"
Nome abitanti,castelluccesi
Patrono,Giovanni Battista
Giorno festivo,24 giugno
PIL procapite,(nominale) 14 564 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Castelluccio Valmaggiore,Castelluccio Valmaggiore
Castelluccio Valmaggiore – MappaPosizione del comune di Castelluccio Valmaggiore nella provincia di Foggia,Castelluccio Valmaggiore – MappaPosizione del comune di Castelluccio Valmaggiore nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
