Bovino comune,Bovino comune.1
,
Bovino – Veduta,Bovino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Stefania Russo (lista civica di sinistra Bovino futura) dal 15-5-2023
Territorio,Territorio
Coordinate,41°15′N 15°21′E
Altitudine,620 m s.l.m.
Superficie,"84,93 km²"
Abitanti,2 874[1] (30-11-2025)
Densità,"33,84 ab./km²"
Frazioni,"Ponte Bovino, Radogna"
Comuni confinanti,"Accadia, Castelluccio dei Sauri, Deliceto, Orsara di Puglia, Panni"
Altre informazioni,Altre informazioni
Cod. postale,71023
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071007
Cod. catastale,B104
Targa,FG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 243 GG[3]"
Nome abitanti,bovinesi
Patrono,san Marco di Eca e Maria santissima di Valleverde
Giorno festivo,7 ottobre e 29 agosto
PIL procapite,(nominale) 16 526 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Bovino,Bovino
Bovino – MappaPosizione del comune di Bovino nella provincia di Foggia,Bovino – MappaPosizione del comune di Bovino nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
