Monteleone di Puglia comune,Monteleone di Puglia comune.1
,
Monteleone di Puglia – Veduta,Monteleone di Puglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Giovanni Campese (lista civica) dal 1-6-2015 (2º mandato dal 21-09-2020)
Territorio,Territorio
Coordinate,41°10′N 15°16′E
Altitudine,842 m s.l.m.
Superficie,"36,42 km²"
Abitanti,910[1] (30-11-2025)
Densità,"24,99 ab./km²"
Comuni confinanti,"Accadia, Anzano di Puglia, Ariano Irpino (AV), Panni, San Sossio Baronia (AV), Sant'Agata di Puglia, Savignano Irpino (AV), Zungoli (AV)"
Altre informazioni,Altre informazioni
Cod. postale,71020
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071032
Cod. catastale,F538
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 714 GG[3]"
Nome abitanti,monteleonesi
Patrono,san Rocco
Giorno festivo,16 agosto
PIL procapite,(nominale) 13 485 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Monteleone di Puglia,Monteleone di Puglia
Monteleone di Puglia – MappaPosizione del comune di Monteleone di Puglia nella provincia di Foggia,Monteleone di Puglia – MappaPosizione del comune di Monteleone di Puglia nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
