Casalnuovo Monterotaro comune,Casalnuovo Monterotaro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Pasquale Codianni (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°37′N 15°06′E
Altitudine,432 m s.l.m.
Superficie,"48,36 km²"
Abitanti,1 405[1] (30-11-2025)
Densità,"29,05 ab./km²"
Frazioni,"Masseria D'Ardes, Masseria Fonteromano, Masseria Sterparapiana, Monterotaro, Montetto, Vallevona"
Comuni confinanti,"Carlantino, Casalvecchio di Puglia, Castelnuovo della Daunia, Celenza Valfortore, Colletorto (CB), Pietramontecorvino, San Giuliano di Puglia (CB)"
Altre informazioni,Altre informazioni
Cod. postale,71033
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071013
Cod. catastale,B904
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 800 GG[3]"
Nome abitanti,casalnovesi
Patrono,santa Maria della Rocca
Giorno festivo,15-16 agosto
PIL procapite,(nominale) 13 482 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Casalnuovo Monterotaro,Casalnuovo Monterotaro
Casalnuovo Monterotaro – MappaPosizione del comune di Casalnuovo Monterotaro nella provincia di Foggia,Casalnuovo Monterotaro – MappaPosizione del comune di Casalnuovo Monterotaro nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
