Isole Tremiti comune,Isole Tremiti comune.1
,
Isole Tremiti – Veduta,Isole Tremiti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Annalisa Lisci (lista civica Progetto Tremiti Bene Comune) dal 08-06-2024
Data di istituzione,1932
Territorio,Territorio
Coordinate,42°07′N 15°30′E
Altitudine,70 m s.l.m.
Superficie,"3,18 km²"
Abitanti,469[1] (30-11-2025)
Densità,"147,48 ab./km²"
Frazioni,"San Domino, San Nicola (sede comunale)[2]"
Comuni confinanti,"Nessuna (località oltremare più vicina: Torre Mileto, distanza pari a 11 miglia nautiche o 20 chilometri)"
Altre informazioni,Altre informazioni
Cod. postale,71051
Prefisso,0882
Fuso orario,UTC+1
Codice ISTAT,071026
Cod. catastale,E363
Targa,FG
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 953 GG[4]"
Nome abitanti,tremitesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
PIL procapite,(nominale) 18 641 € (anno d'imposta 2022)[5]
Cartografia,Cartografia
Isole Tremiti,Isole Tremiti
Isole Tremiti – MappaPosizione delle Isole Tremiti nella provincia di Foggia,Isole Tremiti – MappaPosizione delle Isole Tremiti nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
