Rignano Garganico comune,Rignano Garganico comune.1
,
Rignano Garganico – Veduta,Rignano Garganico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Luigi Di Fiore (lista civica Rignano che vorrei) dal 13-6-2022
Territorio,Territorio
Coordinate,41°41′N 15°35′E
Altitudine,590 m s.l.m.
Superficie,"89,4 km²"
Abitanti,1 724[1] (30-11-2025)
Densità,"19,28 ab./km²"
Comuni confinanti,"Apricena, Foggia, San Marco in Lamis, San Severo"
Altre informazioni,Altre informazioni
Cod. postale,71010
Prefisso,0882
Fuso orario,UTC+1
Codice ISTAT,071041
Cod. catastale,H287
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 147 GG[3]"
Nome abitanti,rignanesi
Patrono,san Rocco
Giorno festivo,16 agosto
PIL procapite,(nominale) 14 750 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Rignano Garganico,Rignano Garganico
Rignano Garganico – MappaPosizione del comune di Rignano Garganico nella provincia di Foggia,Rignano Garganico – MappaPosizione del comune di Rignano Garganico nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
