Serracapriola comune,Serracapriola comune.1
,
Serracapriola – Veduta,Serracapriola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Giuseppe D'Onofrio (lista civica) dal 20-9-2020
Territorio,Territorio
Coordinate,41°48′N 15°10′E
Altitudine,270 m s.l.m.
Superficie,"144,36 km²"
Abitanti,3 525[1] (30-11-2025)
Densità,"24,42 ab./km²"
Comuni confinanti,"Chieuti, Lesina, Rotello (CB), San Martino in Pensilis (CB), San Paolo di Civitate, Torremaggiore"
Altre informazioni,Altre informazioni
Cod. postale,71010
Prefisso,0882
Fuso orario,UTC+1
Codice ISTAT,071053
Cod. catastale,I641
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 622 GG[3]"
Nome abitanti,serrani
Patrono,san Mercurio
Giorno festivo,5 settembre
PIL procapite,(nominale) 12 942 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Serracapriola,Serracapriola
Serracapriola – MappaPosizione del comune di Serracapriola nella provincia di Foggia,Serracapriola – MappaPosizione del comune di Serracapriola nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
