San Giovanni Rotondo comune,San Giovanni Rotondo comune.1
,
San Giovanni Rotondo – VedutaVeduta della chiesa di Santa Maria delle Grazie con il convento di Padre Pio,San Giovanni Rotondo – VedutaVeduta della chiesa di Santa Maria delle Grazie con il convento di Padre Pio
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Antonio Incollingo (Commissario prefettizio) dal 26-11-2025
Data di istituzione,1095
Territorio,Territorio
Coordinate,41°42′N 15°44′E
Altitudine,566 m s.l.m.
Superficie,"261,88 km²"
Abitanti,26 157[1] (30-11-2025)
Densità,"99,88 ab./km²"
Frazioni,Matine
Comuni confinanti,"Foggia, Manfredonia, Monte Sant'Angelo, San Marco in Lamis"
Altre informazioni,Altre informazioni
Cod. postale,71013
Prefisso,0882
Fuso orario,UTC+1
Codice ISTAT,071046
Cod. catastale,H926
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 004 GG[3]"
Nome abitanti,"sangiovannesi, sangiovannari (dialetto)"
Patrono,san Giovanni Battista[4]
Giorno festivo,24 giugno[4]
PIL procapite,(nominale) 20 333 € (anno d'imposta 2022)[5]
Cartografia,Cartografia
San Giovanni Rotondo,San Giovanni Rotondo
San Giovanni Rotondo – MappaPosizione del comune di San Giovanni Rotondo nella provincia di Foggia,San Giovanni Rotondo – MappaPosizione del comune di San Giovanni Rotondo nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
