Ordona comune,Ordona comune.1
,
Ordona – Veduta Veduta di Ordona,Ordona – Veduta Veduta di Ordona
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Adalgisa La Torre (lista civica Insieme per Ordona) dal 22-9-2020
Data di istituzione,1975
Territorio,Territorio
Coordinate,41°19′N 15°38′E
Altitudine,120 m s.l.m.
Superficie,"39,57 km²"
Abitanti,3 373[1] (30-11-2025)
Densità,"85,24 ab./km²"
Comuni confinanti,"Ascoli Satriano, Carapelle, Foggia, Orta Nova"
Altre informazioni,Altre informazioni
Cod. postale,71040
Prefisso,0885
Fuso orario,UTC+1
Codice ISTAT,071063
Cod. catastale,M266
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 473 GG[3]"
Nome abitanti,ordonesi
Patrono,san Leone Vescovo
Giorno festivo,22 gennaio
PIL procapite,(nominale) 13 934 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Ordona,Ordona
Ordona – MappaPosizione del comune di Ordona nella provincia di Foggia,Ordona – MappaPosizione del comune di Ordona nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
