Casalvecchio di Puglia comune,Casalvecchio di Puglia comune.1
,
Casalvecchio di Puglia – Veduta,Casalvecchio di Puglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Noè Andreano (lista civica) dal 30-5-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,41°36′N 15°07′E
Altitudine,465 m s.l.m.
Superficie,"31,93 km²"
Abitanti,1 624[1] (30-11-2025)
Densità,"50,86 ab./km²"
Comuni confinanti,"Casalnuovo Monterotaro, Castelnuovo della Daunia, Pietramontecorvino, Torremaggiore"
Altre informazioni,Altre informazioni
Cod. postale,71030
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071014
Cod. catastale,B917
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 851 GG[3]"
Nome abitanti,casalvecchiesi (in arb. Kazallveqotra)
Patrono,"Madonna delle Grazie, san Nicola di Bari (compatrono)"
Giorno festivo,"terza domenica di maggio, terzo lunedì di maggio"
PIL procapite,(nominale) 13 731 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Casalvecchio di Puglia,Casalvecchio di Puglia
Casalvecchio di Puglia – MappaPosizione del comune di Casalvecchio di Puglia nella provincia di Foggia,Casalvecchio di Puglia – MappaPosizione del comune di Casalvecchio di Puglia nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
