Castelnuovo della Daunia comune,Castelnuovo della Daunia comune.1
,
Castelnuovo della Daunia – Veduta,Castelnuovo della Daunia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Guerino De Luca (lista civica Viviamo Castelnuovo) dal 8-6-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°35′N 15°07′E
Altitudine,543 m s.l.m.
Superficie,"61,49 km²"
Abitanti,1 220[1] (30-11-2025)
Densità,"19,84 ab./km²"
Frazioni,"Strettola, Dragonara, Villanella, Gautoni"
Comuni confinanti,"Casalnuovo Monterotaro, Casalvecchio di Puglia, Lucera, Pietramontecorvino, San Giuliano di Puglia (CB), Santa Croce di Magliano (CB), Torremaggiore"
Altre informazioni,Altre informazioni
Cod. postale,71034
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071017
Cod. catastale,C222
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 958 GG[3]"
Nome abitanti,castelnuovesi
Patrono,santa Maria della Murgia
Giorno festivo,15 settembre
PIL procapite,(nominale) 14 491 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Castelnuovo della Daunia,Castelnuovo della Daunia
Castelnuovo della Daunia – MappaPosizione del comune di Castelnuovo della Daunia nella provincia di Foggia,Castelnuovo della Daunia – MappaPosizione del comune di Castelnuovo della Daunia nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
