Chieuti comune,Chieuti comune.1
,
Chieuti – Veduta,Chieuti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Diego Iacono (lista civica Chieuti libera) dal 11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,41°51′N 15°09′E
Altitudine,224 m s.l.m.
Superficie,"61,52 km²"
Abitanti,1 463[1] (30-11-2025)
Densità,"23,78 ab./km²"
Frazioni,Marina di Chieuti
Comuni confinanti,"Campomarino (CB), San Martino in Pensilis (CB), Serracapriola"
Altre informazioni,Altre informazioni
Cod. postale,71010
Prefisso,0882
Fuso orario,UTC+1
Codice ISTAT,071021
Cod. catastale,C633
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 547 GG[3]"
Nome abitanti,chieutini
Patrono,san Giorgio Martire
Giorno festivo,23 aprile
PIL procapite,(nominale) 13 310 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Chieuti,Chieuti
Chieuti – MappaPosizione del comune di Chieuti nella provincia di Foggia,Chieuti – MappaPosizione del comune di Chieuti nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
