Monte Sant'Angelo comune,Monte Sant'Angelo comune.1
,
Monte Sant'Angelo – Veduta,Monte Sant'Angelo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Pierpaolo D'Arienzo (PD) dal 12-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,41°42′N 15°58′E
Altitudine,796 m s.l.m.
Superficie,"245,13 km²"
Abitanti,10 902[1] (30-11-2025)
Densità,"44,47 ab./km²"
Frazioni,Marina di Monte Sant'Angelo (Macchia); Ruggiano[2][3]
Comuni confinanti,"Cagnano Varano, Carpino, Manfredonia, Mattinata, San Giovanni Rotondo, San Marco in Lamis, Vico del Gargano, Vieste"
Altre informazioni,Altre informazioni
Cod. postale,71037; 71030 (Macchia)
Prefisso,0884
Fuso orario,UTC+1
Codice ISTAT,071033
Cod. catastale,F631
Targa,FG
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 400 GG[5]"
Nome abitanti,montanari
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
PIL procapite,(nominale) 17 736 € (anno d'imposta 2022)[6]
Soprannome,città della grotta[senza fonte]
Cartografia,Cartografia
Monte Sant'Angelo,Monte Sant'Angelo
Monte Sant'Angelo – MappaPosizione del comune di Monte Sant'Angelo nella provincia di Foggia,Monte Sant'Angelo – MappaPosizione del comune di Monte Sant'Angelo nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
