Ascoli Satriano comune,Ascoli Satriano comune.1
,
Ascoli Satriano – Veduta,Ascoli Satriano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Vincenzo Sarcone (indipendente di centro-destra) dal 15-5-2023
Territorio,Territorio
Coordinate,41°12′56″N 15°33′28″E
Altitudine,393 m s.l.m.
Superficie,"336,68[1] km²"
Abitanti,5 639[2] (30-11-2025)
Densità,"16,75 ab./km²"
Frazioni,"San Carlo, Palazzo d'Ascoli, Corleto, Amendola, Giarnera Grande, Torretta"
Comuni confinanti,"Candela, Castelluccio dei Sauri, Cerignola, Deliceto, Foggia, Lavello (PZ), Melfi (PZ), Ordona, Orta Nova, Stornarella"
Altre informazioni,Altre informazioni
Cod. postale,71022
Prefisso,0885
Fuso orario,UTC+1
Codice ISTAT,071005
Cod. catastale,A463
Targa,FG
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 652 GG[4]"
Nome abitanti,ascolani
Patrono,san Potito
Giorno festivo,14 gennaio
PIL procapite,(nominale) 15 714 € (anno d'imposta 2022)[5]
Cartografia,Cartografia
Ascoli Satriano,Ascoli Satriano
Ascoli Satriano – MappaPosizione del comune di Ascoli Satriano nella provincia di Foggia,Ascoli Satriano – MappaPosizione del comune di Ascoli Satriano nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
