Stornara comune,Stornara comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Roberto Nigro (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,41°17′N 15°46′E
Altitudine,107 m s.l.m.
Superficie,"33,86 km²"
Abitanti,5 781[1] (30-11-2025)
Densità,"170,73 ab./km²"
Comuni confinanti,"Cerignola, Ordona, Orta Nova, Stornarella"
Altre informazioni,Altre informazioni
Cod. postale,71047
Prefisso,0885
Fuso orario,UTC+1
Codice ISTAT,071054
Cod. catastale,I962
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 445 GG[3]"
Nome abitanti,stornaresi
Patrono,san Rocco
Giorno festivo,16 agosto
PIL procapite,(nominale) 11 894 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Stornara,Stornara
Stornara – MappaPosizione del comune di Stornara nella provincia di Foggia,Stornara – MappaPosizione del comune di Stornara nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
