Manfredonia comune,Manfredonia comune.1
,
Manfredonia – VedutaVista panoramica del centro storico,Manfredonia – VedutaVista panoramica del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Domenico La Marca (indipendente di centro-sinistra) dal 24-6-2024
Territorio,Territorio
Coordinate,41°38′N 15°55′E
Altitudine,5 m s.l.m.
Superficie,"354,54 km²"
Abitanti,53 037[1] (30-11-2025)
Densità,"149,59 ab./km²"
Frazioni,"Borgo Mezzanone, Fonterosa, Ippocampo, Scalo dei Saraceni, Sciali degli Zingari, Siponto"
Comuni confinanti,"Carapelle, Cerignola, Foggia, Monte Sant'Angelo, San Giovanni Rotondo, San Marco in Lamis, Zapponeta"
Altre informazioni,Altre informazioni
Cod. postale,71043
Prefisso,0884
Fuso orario,UTC+1
Codice ISTAT,071029
Cod. catastale,E885
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 523 GG[3]"
Nome abitanti,"manfredoniani, sipontini"
Patrono,san Lorenzo Maiorano[4]
Giorno festivo,7 febbraio[4]
PIL procapite,(nominale) 18 049 € (anno d'imposta 2022)[5]
Cartografia,Cartografia
Manfredonia,Manfredonia
Manfredonia – MappaPosizione del comune di Manfredonia nella provincia di Foggia,Manfredonia – MappaPosizione del comune di Manfredonia nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
