Volturara Appula comune,Volturara Appula comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Vincenzo Zibisco (lista civica Volturara nel cuore) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°30′N 15°03′E
Altitudine,489 m s.l.m.
Superficie,52 km²
Abitanti,348[1] (30-11-2025)
Densità,"6,69 ab./km²"
Comuni confinanti,"Alberona, Celenza Valfortore, Motta Montecorvino, San Bartolomeo in Galdo (BN), San Marco la Catola, Volturino"
Altre informazioni,Altre informazioni
Cod. postale,71030
Prefisso,0881
Fuso orario,UTC+1
Codice ISTAT,071061
Cod. catastale,M131
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,volturaresi
Patrono,Maria Santissima della Sanità
Giorno festivo,prima domenica di maggio
PIL procapite,(nominale) 13 625 € (anno d'imposta 2022)[3]
Cartografia,Cartografia
Volturara Appula,Volturara Appula
Volturara Appula – MappaPosizione del comune di Volturara Appula nella provincia di Foggia,Volturara Appula – MappaPosizione del comune di Volturara Appula nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
