Carapelle comune,Carapelle comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Foggia
Amministrazione,Amministrazione
Sindaco,Luigi Marasco (lista civica di centro-sinistra Uniti per Carapelle) dal 11-6-2025
Data di istituzione,1º febbraio 1958
Territorio,Territorio
Coordinate,41°22′N 15°42′E
Altitudine,62 m s.l.m.
Superficie,25 km²
Abitanti,6 870[1] (30-11-2025)
Densità,"274,8 ab./km²"
Comuni confinanti,"Cerignola, Foggia, Manfredonia, Ordona, Orta Nova"
Altre informazioni,Altre informazioni
Cod. postale,71041
Prefisso,0885
Fuso orario,UTC+1
Codice ISTAT,071010
Cod. catastale,B724
Targa,FG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 384 GG[3]"
Nome abitanti,carapellesi
Patrono,san Francesco da Paola e Maria S.S. del Rosario
Giorno festivo,prima domenica di ottobre
PIL procapite,(nominale) 13 594 € (anno d'imposta 2022)[4]
Cartografia,Cartografia
Carapelle,Carapelle
Carapelle – MappaPosizione del comune di Carapelle nella provincia di Foggia,Carapelle – MappaPosizione del comune di Carapelle nella provincia di Foggia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
